Date,Time,Observation
4/24/09,8:35:29,0.793019
4/24/09,8:51:41,0.599368
4/24/09,9:07:52,0.584173
4/24/09,9:57:36,0.541102
4/24/09,9:58:11,0.562649
4/24/09,10:37:30,0.668966
4/24/09,12:11:44,0.801459
4/24/09,13:11:08,1.238376
4/25/09,6:08:29,0.757828
4/25/09,6:48:32,0.722303
4/25/09,7:14:16,0.707022
4/25/09,7:48:21,0.660838
4/25/09,8:33:04,0.669821
4/25/09,9:05:26,0.641809
4/25/09,9:37:08,0.713316
4/25/09,11:01:56,0.563363
4/25/09,11:16:57,0.568189
4/25/09,11:31:55,0.705282
4/25/09,11:46:55,0.621005
4/25/09,11:53:02,0.634753
4/29/09,7:54:09,1.065821
4/29/09,9:17:00,0.750969
4/29/09,9:19:06,0.586907
4/30/09,5:24:11,0.549137
4/30/09,5:24:50,0.545246
4/30/09,6:42:46,0.552928
4/30/09,6:54:31,0.556262
4/30/09,7:04:05,0.572175
4/30/09,8:01:41,0.502287
4/30/09,14:19:02,0.676396
5/1/09,5:46:08,0.92485
5/1/09,5:52:21,0.919354
5/1/09,6:01:04,0.910111
5/1/09,6:16:06,0.914403
5/1/09,6:31:09,0.919536
5/1/09,6:46:07,0.910755
5/1/09,7:01:04,0.916542
5/1/09,7:16:04,0.930843
5/1/09,7:31:04,0.924177
5/1/09,7:46:07,0.905045
5/1/09,8:01:05,0.88887
5/1/09,8:16:05,0.901597
5/1/09,8:31:05,0.893769
5/1/09,8:46:06,0.868536
5/1/09,9:01:06,0.870162
5/1/09,9:16:06,0.873118
5/1/09,9:31:05,0.932371
5/1/09,9:46:06,0.882202
5/1/09,10:01:04,0.886478
5/1/09,10:16:05,0.900418
5/1/09,10:31:04,0.882116
5/1/09,10:46:05,0.896902
5/1/09,11:01:05,0.908707
5/1/09,11:16:04,0.906588
5/1/09,11:31:04,0.901246
5/1/09,11:46:05,0.815395
5/1/09,11:52:02,0.844602
5/1/09,12:01:04,0.890312
5/1/09,12:16:05,0.910872
5/1/09,12:32:50,0.91954
5/1/09,13:00:27,0.961893
5/1/09,13:14:04,0.980379
5/1/09,13:25:11,0.989793
5/1/09,13:34:21,0.976286
5/1/09,13:42:10,0.99819
5/1/09,13:48:51,0.993626
5/1/09,13:55:02,0.953891
5/1/09,13:59:32,0.965876
5/1/09,14:01:24,0.96704
5/1/09,14:04:18,0.957727
5/1/09,14:08:20,0.961146
5/1/09,14:11:58,0.982956
5/2/09,3:19:27,0.772243
5/2/09,3:28:12,0.75332
5/2/09,3:36:43,0.761095
5/2/09,3:42:33,0.738365
5/2/09,3:48:39,0.725498
5/2/09,3:57:06,0.71226
5/2/09,9:15:58,0.821442
5/2/09,9:46:04,0.616908
5/2/09,13:49:27,0.416718
5/3/09,3:05:00,0.308451
5/3/09,3:11:03,0.305655
5/3/09,3:18:42,0.306308
5/3/09,3:25:45,0.299674
5/3/09,3:27:40,0.301179
5/3/09,3:30:56,0.288683
5/3/09,3:36:03,0.287262
5/3/09,3:41:52,0.288867
5/3/09,3:47:59,0.295937
5/3/09,3:52:42,0.300713
5/3/09,3:56:22,0.30105
5/3/09,4:05:35,0.305365
5/3/09,4:16:40,0.327411
5/3/09,4:30:21,0.359748
5/3/09,7:15:51,0.34623
5/3/09,7:30:53,0.367433
5/3/09,7:45:52,0.391722
5/3/09,8:15:52,0.398945
5/3/09,8:30:52,0.380055
5/3/09,8:45:53,0.392797
5/3/09,9:00:52,0.389682
5/3/09,9:15:53,0.394505
5/3/09,9:30:52,0.394124
5/3/09,9:45:55,0.356699
5/3/09,10:00:51,0.385012
5/3/09,10:15:53,0.39182
5/3/09,10:30:51,0.392382
5/3/09,10:45:52,0.405974
5/3/09,11:00:51,0.381381
5/3/09,11:15:52,0.355179
5/3/09,11:30:50,0.376575
5/3/09,11:45:52,0.386806
5/3/09,11:51:55,0.408913
5/3/09,12:00:52,0.42401
5/3/09,12:15:51,0.456307
5/3/09,12:33:52,0.464912
5/3/09,13:01:28,0.546025
5/3/09,13:15:04,0.510104
5/3/09,13:26:13,0.480057
5/3/09,13:35:26,0.459109
5/3/09,13:43:10,0.441193
5/3/09,13:49:52,0.422733
5/3/09,13:56:05,0.41691
5/3/09,14:00:36,0.401931
5/3/09,14:02:35,0.397882
5/3/09,14:05:20,0.395539
5/3/09,14:09:23,0.395313
5/3/09,14:13:01,0.394509
5/3/09,14:20:39,0.414329
5/4/09,3:04:15,0.663448
5/4/09,3:10:25,0.660568
5/4/09,3:18:00,0.638244
5/4/09,3:24:51,0.618584
5/4/09,3:26:42,0.618709
5/4/09,3:30:15,0.638091
5/4/09,3:35:19,0.635927
5/4/09,3:41:08,0.641653
5/4/09,3:47:26,0.665779
5/4/09,3:51:57,0.657734
5/4/09,3:55:42,0.648219
5/4/09,4:04:55,0.659438
5/4/09,4:16:02,0.651705
5/4/09,4:29:43,0.654984
5/4/09,4:57:18,0.681516
5/4/09,5:15:46,0.677495
5/4/09,5:30:45,0.70892
5/4/09,5:45:46,0.67524
5/4/09,5:51:55,0.708931
5/4/09,6:00:46,0.706674
5/4/09,6:15:47,0.680061
5/4/09,12:34:18,1.048841
5/4/09,13:01:57,1.007943
5/4/09,13:35:51,0.930004
5/5/09,3:23:58,1.179683
5/5/09,3:25:50,1.178838
5/5/09,3:29:34,1.128066
5/5/09,3:34:38,1.16197
5/5/09,3:46:45,1.261536
5/5/09,3:55:04,1.461806
5/5/09,4:15:21,1.343518
5/5/09,6:15:44,1.6829
5/5/09,7:30:41,1.587242
5/5/09,8:15:42,1.47551
5/5/09,8:30:42,1.449438
5/7/09,12:15:33,1.236364
5/7/09,13:17:00,1.167717
5/7/09,13:28:06,1.195908
5/7/09,13:57:55,1.133742
5/7/09,14:02:21,1.21344
5/8/09,5:30:33,0.834906
5/8/09,6:00:34,1.000652
5/8/09,6:15:31,0.984576
5/8/09,6:45:31,1.010677
5/8/09,7:00:30,1.131968
5/8/09,7:30:30,1.058435
5/8/09,7:45:31,1.095013
5/8/09,8:00:34,1.038197
5/8/09,8:15:31,1.085747
5/8/09,8:30:31,1.088652
5/8/09,8:45:32,1.091929
5/8/09,9:00:31,1.128556
5/8/09,9:30:31,1.126658
5/8/09,10:00:31,1.233977
5/8/09,10:30:30,1.412386
5/9/09,3:07:02,1.037613
5/9/09,3:14:41,1.026711
5/9/09,3:21:22,1.015412
5/9/09,3:23:18,1.026185
5/9/09,3:26:59,1.031286
5/9/09,3:32:07,1.047668
5/9/09,3:37:58,1.029216
5/9/09,3:44:11,1.024427
5/9/09,3:48:39,1.077898
5/9/09,3:52:36,1.073892
5/9/09,4:01:51,1.106995
5/9/09,4:12:58,1.104665
5/9/09,4:26:36,1.115922
5/9/09,4:54:17,1.169067
5/9/09,5:01:04,1.169934
5/9/09,5:15:26,1.140551
5/9/09,5:30:26,1.151444
5/9/09,5:45:31,1.152397
5/9/09,5:51:50,1.151076
5/9/09,6:00:27,1.161294
5/9/09,6:15:31,1.193695
5/9/09,6:30:26,1.20856
5/9/09,6:45:28,1.183303
5/9/09,7:00:30,1.218653
5/9/09,7:15:27,1.168019
5/9/09,7:30:30,1.190336
5/9/09,7:45:28,1.124939
5/9/09,8:00:27,1.110484
5/9/09,8:15:28,1.083748
5/9/09,8:30:28,1.081319
5/9/09,9:15:29,1.073425
5/9/09,9:30:28,1.026523
5/9/09,9:45:28,1.012679
5/9/09,10:00:29,1.056016
5/9/09,12:00:28,1.053094
5/9/09,12:15:27,1.133771
5/9/09,14:03:55,1.06862
5/10/09,12:15:24,0.602665
5/10/09,13:18:26,0.654631
5/10/09,13:59:32,0.67055
5/10/09,14:04:11,0.648244
5/10/09,14:06:04,0.644197
5/10/09,14:09:00,0.643501
5/10/09,14:13:04,0.641517
5/10/09,14:24:25,0.678353
5/10/09,14:30:33,0.712652
5/11/09,3:20:14,0.987449
5/11/09,3:22:07,0.982496
5/11/09,3:31:00,1.041685
5/11/09,4:00:45,0.986719
5/11/09,4:11:52,0.954206
5/11/09,5:00:25,0.941487
5/11/09,5:15:23,1.000067
5/11/09,5:30:25,1.067613
5/11/09,5:51:37,1.025791
5/11/09,6:15:23,1.031604
5/11/09,6:45:25,1.049805
5/11/09,7:15:23,1.092674
5/11/09,7:30:23,1.075605
5/11/09,9:00:25,1.10013
5/11/09,12:30:23,1.12663
5/12/09,3:05:15,0.820741
5/12/09,3:21:34,0.854984
5/12/09,3:30:26,0.791599
5/12/09,3:36:19,0.788779
5/12/09,3:42:40,0.7817
5/12/09,3:47:10,0.780387
5/12/09,3:50:58,0.781067
5/12/09,4:00:14,0.775643
5/12/09,4:11:22,0.759109
5/12/09,5:30:25,0.779356
5/12/09,5:51:31,0.801888
5/12/09,14:06:16,0.881931
5/12/09,14:08:09,0.884641
5/12/09,14:14:07,0.845846
5/12/09,14:17:46,0.830718
5/13/09,9:30:27,1.230337
5/13/09,11:00:23,1.009253
5/13/09,11:15:23,1.089292
5/13/09,11:30:23,1.134223
5/13/09,11:45:23,1.202901
5/13/09,11:51:26,1.215833
5/13/09,12:00:21,1.191287
5/13/09,12:15:21,1.254262
5/13/09,12:30:22,1.287751
5/13/09,12:38:30,1.239168
5/13/09,13:40:18,1.233421
5/13/09,13:48:10,1.397812
5/15/09,3:19:11,1.12515
5/15/09,3:28:57,1.138662
5/15/09,3:34:49,1.171905
5/15/09,3:40:59,1.12428
5/15/09,3:49:33,1.036602
5/15/09,5:15:22,0.673752
5/15/09,8:00:25,0.858061
5/15/09,8:15:25,0.930827
5/15/09,8:30:33,1.054504
5/15/09,8:45:25,1.115016
5/15/09,9:00:26,1.321419
5/15/09,14:02:04,0.866163
5/15/09,14:11:36,0.820617
5/15/09,14:15:42,0.814423
5/15/09,14:19:21,0.834979
5/15/09,14:27:05,0.868482
5/16/09,5:15:26,0.384263
5/16/09,6:45:26,0.480407
5/16/09,7:00:25,0.484224
5/16/09,9:15:26,0.672108
5/17/09,2:56:31,0.693138
5/17/09,3:02:45,0.709604
5/17/09,3:10:28,0.712577
5/17/09,3:17:13,0.710744
5/17/09,3:19:08,0.711523
5/17/09,3:22:55,0.709974
5/17/09,3:28:05,0.70928
5/17/09,3:33:59,0.716518
5/17/09,3:40:15,0.70787
5/17/09,3:44:52,0.70066
5/17/09,3:48:39,0.705567
5/17/09,3:57:59,0.692438
5/17/09,4:09:11,0.687182
5/17/09,4:22:51,0.684916
5/17/09,4:50:38,0.696546
5/17/09,5:00:25,0.676452
5/17/09,5:15:25,0.662257
5/17/09,5:30:25,0.648858
5/17/09,5:45:27,0.640124
5/17/09,5:51:31,0.642068
5/17/09,6:00:25,0.638691
5/17/09,6:15:29,0.641534
5/17/09,6:30:26,0.670258
5/17/09,6:45:28,0.657963
5/17/09,7:00:29,0.633366
5/17/09,7:15:26,0.632265
5/17/09,7:45:27,0.58917
5/17/09,8:00:27,0.534381
5/17/09,8:30:28,0.505799
5/17/09,9:00:29,0.451386
5/17/09,9:45:28,0.444128
5/17/09,10:00:28,0.496993
5/17/09,10:30:26,0.50869
5/17/09,11:00:27,0.503946
5/17/09,11:15:27,0.502233
5/17/09,11:30:26,0.534615
5/17/09,11:45:27,0.49719
5/17/09,11:51:31,0.511552
5/17/09,12:00:25,0.511925
5/17/09,12:15:26,0.554712
5/17/09,12:30:26,0.55555
5/17/09,12:40:18,0.559857
5/17/09,13:08:02,0.626425
5/17/09,13:21:45,0.667585
5/17/09,13:32:55,0.678775
5/17/09,13:42:14,0.669086
5/17/09,13:50:07,0.668509
5/17/09,13:56:54,0.636749
5/17/09,14:03:02,0.622924
5/17/09,14:07:36,0.60164
5/17/09,14:09:29,0.600155
5/17/09,14:12:36,0.606904
5/17/09,14:16:43,0.610828
5/17/09,14:20:24,0.587426
5/17/09,14:28:10,0.594558
5/17/09,14:34:20,0.584127
5/18/09,2:56:03,0.345689
5/18/09,3:02:18,0.32893
5/18/09,3:10:03,0.317736
5/18/09,3:17:08,0.313809
5/18/09,3:19:03,0.313628
5/18/09,4:08:45,0.320525
5/18/09,4:22:27,0.314415
5/18/09,4:50:18,0.402205
5/18/09,5:00:27,0.408643
5/18/09,5:30:29,0.540345
5/18/09,5:45:28,0.528461
5/18/09,5:51:36,0.517216
5/18/09,6:00:27,0.534695
5/18/09,6:15:28,0.521417
5/18/09,6:30:28,0.519159
5/18/09,6:45:31,0.520822
5/18/09,7:00:29,0.512771
5/18/09,7:15:28,0.51343
5/18/09,7:30:28,0.488406
5/18/09,7:45:30,0.480664
5/18/09,8:00:29,0.477026
5/18/09,8:30:31,0.484055
5/18/09,9:00:31,0.496266
5/18/09,9:15:29,0.53045
5/18/09,10:00:29,0.544239
5/18/09,10:15:29,0.542009
5/18/09,10:30:28,0.551713
5/18/09,11:00:28,0.564413
5/18/09,11:30:28,0.638312
5/18/09,11:45:28,0.588045
5/18/09,12:00:28,0.645638
5/18/09,12:15:27,0.585343
5/18/09,12:30:28,0.556248
5/18/09,12:40:45,0.500383
5/18/09,13:08:32,0.552778
5/18/09,13:22:11,0.518474
5/18/09,13:33:23,0.538437
5/18/09,13:42:43,0.52839
5/18/09,13:50:36,0.53304
5/18/09,13:57:26,0.510613
5/18/09,14:03:36,0.520179
5/18/09,14:08:06,0.531228
5/18/09,14:10:00,0.540258
5/18/09,14:13:06,0.529763
5/18/09,14:17:13,0.51318
5/18/09,14:20:54,0.503908
5/18/09,14:28:40,0.516804
5/18/09,14:34:52,0.50304
5/19/09,2:55:39,0.238927
5/19/09,3:01:51,0.240762
5/19/09,3:09:38,0.241405
5/19/09,3:16:28,0.237215
5/19/09,3:18:30,0.238778
5/19/09,3:22:00,0.23933
5/19/09,3:27:15,0.237421
5/19/09,3:33:08,0.238383
5/19/09,3:39:17,0.245049
5/19/09,3:43:52,0.245308
5/19/09,3:47:52,0.245138
5/19/09,3:57:13,0.247257
5/19/09,4:08:23,0.25802
5/19/09,4:22:06,0.249365
5/19/09,5:00:30,0.247689
5/19/09,5:15:32,0.27842
5/19/09,5:30:30,0.23491
5/19/09,5:45:32,0.216501
5/19/09,5:51:27,0.218047
5/19/09,6:00:31,0.243644
5/19/09,6:45:33,0.18106
5/19/09,7:15:31,0.191851
5/19/09,8:00:32,0.179864
5/19/09,8:15:33,0.195026
5/19/09,8:30:32,0.212721
5/19/09,9:15:33,0.219551
5/19/09,9:30:32,0.22283
5/19/09,9:45:33,0.257391
5/19/09,10:00:31,0.200342
5/19/09,10:15:31,0.216022
5/19/09,10:30:31,0.221158
5/19/09,10:45:32,0.217182
5/19/09,11:00:31,0.221342
5/19/09,11:15:31,0.211978
5/19/09,11:30:31,0.200537
5/19/09,11:45:31,0.212481
5/19/09,11:51:31,0.226334
5/19/09,12:00:31,0.212867
5/19/09,12:15:31,0.203209
5/19/09,12:30:31,0.19155
5/19/09,12:41:10,0.226926
5/19/09,13:22:40,0.206335
5/19/09,13:33:51,0.204885
5/19/09,13:43:11,0.231362
5/19/09,13:51:05,0.244141
5/19/09,13:57:55,0.245382
5/19/09,14:03:57,0.212837
5/19/09,14:08:29,0.211867
5/19/09,14:10:23,0.213024
5/19/09,14:13:37,0.21454
5/19/09,14:17:44,0.216607
5/19/09,14:21:24,0.212901
5/19/09,14:29:11,0.239046
5/19/09,14:35:29,0.227815
5/20/09,2:55:21,0.225056
5/20/09,3:01:25,0.234141
5/20/09,3:21:37,0.246593
5/20/09,3:26:54,0.280036
5/20/09,3:32:47,0.250416
5/20/09,3:38:55,0.218719
5/20/09,3:43:34,0.216648
5/20/09,3:47:32,0.226645
5/20/09,3:56:52,0.220942
5/20/09,4:08:03,0.228222
5/20/09,4:21:44,0.228793
5/20/09,5:15:33,0.254624
5/20/09,5:30:33,0.282006
5/20/09,6:00:34,0.302841
5/20/09,6:30:34,0.304539
5/20/09,6:45:35,0.331419
5/20/09,7:00:34,0.343035
5/20/09,7:15:34,0.3369
5/20/09,9:00:39,0.424742
5/20/09,9:15:36,0.406099
5/20/09,9:30:36,0.426474
5/20/09,9:45:36,0.404105
5/20/09,10:15:34,0.399907
5/20/09,10:30:34,0.394655
5/20/09,10:45:35,0.396449
5/20/09,11:00:34,0.400108
5/20/09,11:15:33,0.404441
5/20/09,11:30:34,0.392692
5/20/09,11:45:35,0.409471
5/20/09,11:51:33,0.386494
5/20/09,12:00:33,0.375212
5/20/09,12:15:33,0.383076
5/20/09,12:30:34,0.369724
5/20/09,12:41:36,0.379184
5/20/09,13:09:23,0.404172
5/20/09,13:23:07,0.366137
5/20/09,13:34:19,0.379311
5/20/09,13:43:39,0.340658
5/20/09,13:51:35,0.340793
5/20/09,13:58:23,0.346967
5/20/09,14:04:30,0.370242
5/20/09,14:09:01,0.38414
5/20/09,14:10:55,0.384503
5/20/09,14:14:07,0.381805
5/20/09,14:18:14,0.384209
5/20/09,14:21:57,0.371116
5/20/09,14:29:43,0.340016
5/20/09,14:35:55,0.376966
5/21/09,2:54:50,0.422046
5/21/09,3:01:02,0.439156
5/21/09,3:08:52,0.439281
5/21/09,3:15:30,0.490098
5/21/09,3:17:25,0.505333
5/21/09,3:21:19,0.499659
5/21/09,3:26:29,0.504294
5/21/09,3:32:26,0.509765
5/21/09,3:38:52,0.532732
5/21/09,3:43:32,0.532222
5/21/09,3:47:10,0.524208
5/21/09,3:56:30,0.522371
5/21/09,4:07:44,0.505735
5/21/09,4:21:26,0.509863
5/21/09,4:49:16,0.512354
5/21/09,5:00:37,0.490873
5/21/09,5:15:37,0.484977
5/21/09,5:30:37,0.484198
5/21/09,5:45:38,0.491369
5/21/09,5:51:46,0.483808
5/21/09,6:00:39,0.481232
5/21/09,6:15:37,0.480055
5/21/09,6:30:38,0.486366
5/21/09,6:45:39,0.463347
5/21/09,7:00:38,0.456828
5/21/09,7:30:38,0.452074
5/21/09,7:45:40,0.446611
5/21/09,8:00:39,0.462073
5/21/09,8:15:39,0.472819
5/21/09,8:45:44,0.522475
5/21/09,9:00:39,0.5476
5/21/09,9:30:39,0.610602
5/21/09,10:00:38,0.654547
5/21/09,10:45:39,0.660479
5/21/09,11:15:39,0.671611
5/21/09,11:30:38,0.678772
5/21/09,11:45:39,0.61551
5/21/09,11:51:45,0.630877
5/21/09,12:00:38,0.623953
5/21/09,12:15:38,0.614863
5/21/09,12:30:37,0.635782
5/21/09,12:42:02,0.667643
5/21/09,13:09:52,0.753716
5/21/09,13:23:34,0.728776
5/21/09,13:34:47,0.703721
5/21/09,13:44:08,0.667218
5/21/09,13:52:02,0.665807
5/21/09,13:58:52,0.657498
5/21/09,14:04:58,0.666876
5/21/09,14:09:29,0.661623
5/21/09,14:11:23,0.66135